ticker,have_days,expected_days,missing_days,is_full,first_day,last_day,lookback_days,generated_at
JEPQ,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
JOBY,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
JXN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KARO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KD,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KGS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KLC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KLTR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KNF,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KNTK,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KRRO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KRT,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KSPI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KVUE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KVYO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KYMR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LAW,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LDI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LENZ,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LESL,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LFCR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LFMD,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LFST,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LIF,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LINE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LION,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LLYVA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LLYVK,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LMND,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LOAR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LPRO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LSAK,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LSPD,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LTH,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LU,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LUMN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
LUNG,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
