ticker,have_days,expected_days,missing_days,is_full,first_day,last_day,lookback_days,generated_at
AYI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AZN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AZO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AZTA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AZZ,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
B,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BABA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BAC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BACQ,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BAH,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BALL,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BAM,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BANC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BAND,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BANF,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BANR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BAP,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BATRK,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BAX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BB,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBAI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBAR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBBY,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBD,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBDC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBIO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBSI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBT,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBVA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBW,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBWI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BBY,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
